naics2017|bcid|bc1|bc2|bc3
423720|21-152-437|Wholesale|Hardware Wholesalers|Plumbing and Heating Equipment Wholesalers
423730|21-152-530|Wholesale|Hardware Wholesalers|Warm Air Heating and Air-Conditioning Equipment Wholesalers
423740|21-152-464|Wholesale|Hardware Wholesalers|Refrigeration Equipment Wholesalers
423810|21-171-185|Wholesale|Machinery Wholesalers|Construction and Mining Machinery and Equipment Wholesalers
423820|21-171-229|Wholesale|Machinery Wholesalers|Farm and Garden Machinery and Equipment Wholesalers
423830|21-171-286|Wholesale|Machinery Wholesalers|Industrial Machinery and Equipment Wholesalers
423840|21-171-287|Wholesale|Machinery Wholesalers|Industrial Supplies Wholesalers
423850|21-171-479|Wholesale|Machinery Wholesalers|Service Establishment Equipment Wholesalers
423860|21-171-518|Wholesale|Machinery Wholesalers|Transportation Equipment Wholesalers
423910|21-177-494|Wholesale|Miscellaneous Wholesalers|Sporting and Recreational Goods and Supplies Wholesalers
423920|21-177-515|Wholesale|Miscellaneous Wholesalers|Toy and Hobby Goods and Supplies Wholesalers
423930|21-177-463|Wholesale|Miscellaneous Wholesalers|Recyclable Material Wholesalers
423940|21-177-295|Wholesale|Miscellaneous Wholesalers|Jewelry, Watch, Precious Stone, and Precious Metal Wholesalers
423990|21-177-394|Wholesale|Miscellaneous Wholesalers|Other Miscellaneous Durable Goods Wholesalers
424110|21-191-447|Wholesale|Paper Products Wholesalers|Printing and Writing Paper Wholesalers
424120|21-191-497|Wholesale|Paper Products Wholesalers|Stationery and Office Supplies Wholesalers
424130|21-191-288|Wholesale|Paper Products Wholesalers|Industrial and Personal Service Paper Wholesalers
424210|21-129-207|Wholesale|Drugs and Druggists' Sundries Wholesalers|Drugs and Druggists' Sundries Wholesalers
424310|21-104-433|Wholesale|Apparel Wholesalers|Piece Goods, Notions, and Other Dry Goods Wholesalers
424320|21-104-321|Wholesale|Apparel Wholesalers|Men's and Boys' Clothing and Furnishings Wholesalers
424330|21-104-540|Wholesale|Apparel Wholesalers|Women's, Children's, and Infants' Clothing and Accessories Wholesalers
424340|21-104-244|Wholesale|Apparel Wholesalers|Footwear Wholesalers
424410|21-150-259|Wholesale|Grocery Product Wholesalers|General Line Grocery Wholesalers
424420|21-150-418|Wholesale|Grocery Product Wholesalers|Packaged Frozen Food Wholesalers
424430|21-150-197|Wholesale|Grocery Product Wholesalers|Dairy Product Wholesalers
424440|21-150-444|Wholesale|Grocery Product Wholesalers|Poultry and Poultry Product Wholesalers
424450|21-150-183|Wholesale|Grocery Product Wholesalers|Confectionery Wholesalers
424460|21-150-234|Wholesale|Grocery Product Wholesalers|Fish and Seafood Wholesalers
424470|21-150-317|Wholesale|Grocery Product Wholesalers|Meat and Meat Product Wholesalers
424480|21-150-247|Wholesale|Grocery Product Wholesalers|Fresh Fruit and Vegetable Wholesalers
424490|21-150-386|Wholesale|Grocery Product Wholesalers|Other Grocery and Related Products Wholesalers
424510|21-138-264|Wholesale|Farm Product Raw Material Wholesalers|Grain and Field Bean Wholesalers
424520|21-138-307|Wholesale|Farm Product Raw Material Wholesalers|Livestock Wholesalers
424590|21-138-378|Wholesale|Farm Product Raw Material Wholesalers|Other Farm Product Raw Material Wholesalers
424610|21-117-435|Wholesale|Chemical Products Wholesalers|Plastics Materials and Basic Forms and Shapes Wholesalers
424690|21-117-370|Wholesale|Chemical Products Wholesalers|Other Chemical and Allied Products Wholesalers
424710|21-196-427|Wholesale|Petroleum Products Wholesalers|Petroleum Bulk Stations and Terminals
424720|21-196-429|Wholesale|Petroleum Products Wholesalers|Petroleum and Petroleum Products Wholesalers
424810|21-102-139|Wholesale|Alcoholic Beverage Wholesalers|Beer and Ale Wholesalers
424820|21-102-537|Wholesale|Alcoholic Beverage Wholesalers|Wine and Distilled Alcoholic Beverage Wholesalers
424910|21-177-228|Wholesale|Miscellaneous Wholesalers|Farm Supplies Wholesalers
424920|21-177-143|Wholesale|Miscellaneous Wholesalers|Book, Periodical, and Newspaper Wholesalers
424930|21-177-240|Wholesale|Miscellaneous Wholesalers|Flower, Nursery Stock, and Florists' Supplies Wholesalers
424940|21-177-514|Wholesale|Miscellaneous Wholesalers|Tobacco and Tobacco Product Wholesalers
424950|21-177-420|Wholesale|Miscellaneous Wholesalers|Paint, Varnish, and Supplies Wholesalers
424990|21-177-395|Wholesale|Miscellaneous Wholesalers|Other Miscellaneous Nondurable Goods Wholesalers
425110|21-224-150|Wholesale|Wholesale Agents and Brokers|Business to Business Electronic Markets
425120|21-224-535|Wholesale|Wholesale Agents and Brokers|Wholesale Trade Agents and Brokers
441110|10-113-342|Retail|Car Dealers|New Car Dealers
441120|10-113-522|Retail|Car Dealers|Used Car Dealers
441210|10-189-461|Retail|Other Motor Vehicle Dealers|Recreational Vehicle Dealers
441222|10-189-141|Retail|Other Motor Vehicle Dealers|Boat Dealers
441228|10-189-333|Retail|Other Motor Vehicle Dealers|Motorcycle, ATV, and Other Motor Vehicle Dealers
441310|10-107-133|Retail|Auto Parts|Automotive Parts and Accessories Stores
441320|10-107-510|Retail|Auto Parts|Tire Dealers
442110|10-142-253|Retail|Furniture Stores|Furniture Stores
442210|10-154-238|Retail|Home Furnishings Stores|Floor Covering Stores
442291|10-154-536|Retail|Home Furnishings Stores|Window Treatment Stores
442299|10-154-388|Retail|Home Furnishings Stores|Other Home Furnishings Stores
443141|10-156-279|Retail|Household Appliance Stores|Household Appliance Stores
443142|10-135-215|Retail|Electronics Stores|Electronics Stores
444110|10-112-274|Retail|Building Materials|Home Centers
444120|10-112-419|Retail|Building Materials|Paint and Wallpaper Stores
444130|10-112-267|Retail|Building Materials|Hardware Stores
444190|10-112-368|Retail|Building Materials|Other Building Material Dealers
444210|10-168-416|Retail|Lawn and Garden Equipment Stores|Outdoor Power Equipment Stores
444220|10-168-256|Retail|Lawn and Garden Equipment Stores|Garden and Farm Supply Stores
445110|10-151-498|Retail|Grocery Stores|Supermarkets and Other Grocery Stores
445120|10-151-189|Retail|Grocery Stores|Convenience Stores
445210|10-214-316|Retail|Specialty Food Stores|Meat Markets
445220|10-214-233|Retail|Specialty Food Stores|Fish and Seafood Markets
445230|10-214-249|Retail|Specialty Food Stores|Fruit and Vegetable Markets
445291|10-214-135|Retail|Specialty Food Stores|Baked Goods Stores
445292|10-214-184|Retail|Specialty Food Stores|Confectionery and Nut Stores
445299|10-214-409|Retail|Specialty Food Stores|Other Specialty Food Stores
445310|10-169-306|Retail|Liquor Stores|Liquor Stores
446110|10-197-430|Retail|Pharmacies and Drug Stores|Pharmacies and Drug Stores
446120|10-153-191|Retail|Health and Wellness|Cosmetics and Beauty Supply Stores
446130|10-153-362|Retail|Health and Wellness|Optical Goods Stores
446191|10-153-243|Retail|Health and Wellness|Food Supplement Stores
446199|10-153-387|Retail|Health and Wellness|Other Health and Personal Care Stores
447110|10-145-257|Retail|Gasoline Stations|Gasoline Stations with Convenience Stores
447190|10-145-382|Retail|Gasoline Stations|Other Gasoline Stations
448110|10-119-320|Retail|Clothing Stores|Men's Clothing Stores
448120|10-119-539|Retail|Clothing Stores|Women's Clothing Stores
448130|10-119-163|Retail|Clothing Stores|Children's Clothing Stores
448140|10-119-226|Retail|Clothing Stores|Family Clothing Stores
448150|10-119-165|Retail|Clothing Stores|Clothing Accessories Stores
448190|10-119-371|Retail|Clothing Stores|Other Clothing Stores
448210|10-208-484|Retail|Shoe Stores|Shoe Stores
448310|10-165-294|Retail|Jewelry Stores|Jewelry Stores
448320|10-176-310|Retail|Miscellaneous Retail|Luggage and Leather Goods Stores
451110|10-176-493|Retail|Miscellaneous Retail|Sporting Goods Stores
451120|10-176-272|Retail|Miscellaneous Retail|Hobby, Toy, and Game Stores
451130|10-176-482|Retail|Miscellaneous Retail|Sewing Supply Stores
451140|10-176-337|Retail|Miscellaneous Retail|Musical Instrument and Supplies Stores
451211|10-111-142|Retail|Book Stores|Book Stores
451212|10-182-343|Retail|News Stands|News Stands
452210|10-127-200|Retail|Department Stores|Department Stores
452311|10-148-528|Retail|General Merchandise Stores|Warehouse Clubs and Supercenters
452319|10-148-385|Retail|General Merchandise Stores|Other General Merchandise Stores
453110|10-140-239|Retail|Florists|Florists
453210|10-184-350|Retail|Office Supply Stores|Office Supply Stores
453220|10-149-262|Retail|Gift Stores|Gift Stores
453310|10-176-523|Retail|Miscellaneous Retail|Used Merchandise Stores
453910|10-195-426|Retail|Pet and Pet Supplies Stores|Pet and Pet Supplies Stores
453920|10-105-124|Retail|Art Dealers|Art Dealers
453930|10-176-314|Retail|Miscellaneous Retail|Manufactured Home Dealers
453991|10-176-513|Retail|Miscellaneous Retail|Tobacco Stores
453998|10-176-397|Retail|Miscellaneous Retail|Other Miscellaneous Store Retailers
454110|10-183-214|Retail|Nonstore Retailers|Electronic and Mail-Order Shopping
454210|10-183-525|Retail|Nonstore Retailers|Vending Machine Operators
454310|10-183-250|Retail|Nonstore Retailers|Fuel Dealers
454390|10-183-204|Retail|Nonstore Retailers|Direct Sellers
481111|22-218-114|Industry|Transportation and Warehousing|Air Transportation
481112|22-218-114|Industry|Transportation and Warehousing|Air Transportation
481211|22-218-114|Industry|Transportation and Warehousing|Air Transportation
481212|22-218-114|Industry|Transportation and Warehousing|Air Transportation
481219|22-218-114|Industry|Transportation and Warehousing|Air Transportation
482111|22-218-457|Industry|Transportation and Warehousing|Rail Transportation
482112|22-218-457|Industry|Transportation and Warehousing|Rail Transportation
483111|22-218-533|Industry|Transportation and Warehousing|Water Transportation
483112|22-218-533|Industry|Transportation and Warehousing|Water Transportation
483113|22-218-533|Industry|Transportation and Warehousing|Water Transportation
483114|22-218-533|Industry|Transportation and Warehousing|Water Transportation
483211|22-218-533|Industry|Transportation and Warehousing|Water Transportation
483212|22-218-533|Industry|Transportation and Warehousing|Water Transportation
484110|22-218-520|Industry|Transportation and Warehousing|Truck Transportation
484121|22-218-520|Industry|Transportation and Warehousing|Truck Transportation
484122|22-218-520|Industry|Transportation and Warehousing|Truck Transportation
484210|22-218-520|Industry|Transportation and Warehousing|Truck Transportation
484220|22-218-520|Industry|Transportation and Warehousing|Truck Transportation
484230|22-218-520|Industry|Transportation and Warehousing|Truck Transportation
485111|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485112|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485113|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485119|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485210|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485310|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485320|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485410|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485510|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485991|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
485999|22-218-516|Industry|Transportation and Warehousing|Transit and Ground Passenger Transportation
486110|22-218-434|Industry|Transportation and Warehousing|Pipeline Transportation
486210|22-218-434|Industry|Transportation and Warehousing|Pipeline Transportation
486910|22-218-434|Industry|Transportation and Warehousing|Pipeline Transportation
486990|22-218-434|Industry|Transportation and Warehousing|Pipeline Transportation
487110|22-218-475|Industry|Transportation and Warehousing|Scenic and Sightseeing Transportation
487210|22-218-475|Industry|Transportation and Warehousing|Scenic and Sightseeing Transportation
487990|22-218-475|Industry|Transportation and Warehousing|Scenic and Sightseeing Transportation
488111|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488119|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488190|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488210|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488310|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488320|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488330|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488390|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488410|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488490|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488510|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488991|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
488999|22-218-503|Industry|Transportation and Warehousing|Support Activities for Transportation
491110|22-218-441|Industry|Transportation and Warehousing|Postal Service
492110|22-218-193|Industry|Transportation and Warehousing|Couriers and Messengers
492210|22-218-193|Industry|Transportation and Warehousing|Couriers and Messengers
493110|22-218-529|Industry|Transportation and Warehousing|Warehousing and Storage
493120|22-218-529|Industry|Transportation and Warehousing|Warehousing and Storage
493130|22-218-529|Industry|Transportation and Warehousing|Warehousing and Storage
493190|22-218-529|Industry|Transportation and Warehousing|Warehousing and Storage
511110|16-161-453|Professional|Information|Publishers
511120|16-161-453|Professional|Information|Publishers
511130|16-161-453|Professional|Information|Publishers
511140|16-161-453|Professional|Information|Publishers
511191|16-161-453|Professional|Information|Publishers
511199|16-161-453|Professional|Information|Publishers
511210|16-161-487|Professional|Information|Software Publishers
512110|16-178-330|Professional|Motion Picture and Video Industries|Motion Picture and Video Production
512120|16-178-328|Professional|Motion Picture and Video Industries|Motion Picture and Video Distribution
512131|16-178-329|Professional|Motion Picture and Video Industries|Motion Picture and Video Exhibition
512132|16-178-329|Professional|Motion Picture and Video Industries|Motion Picture and Video Exhibition
512191|16-178-442|Professional|Motion Picture and Video Industries|Postproduction Services and Other Motion Picture and Video Industries
512199|16-178-442|Professional|Motion Picture and Video Industries|Postproduction Services and Other Motion Picture and Video Industries
512230|16-211-335|Professional|Sound Recording Industries|Music Publishers
512240|16-211-488|Professional|Sound Recording Industries|Sound Recording Studios
512250|16-211-460|Professional|Sound Recording Industries|Record Production and Distribution
512290|16-211-408|Professional|Sound Recording Industries|Other Sound Recording Industries
515111|16-161-456|Professional|Information|Radio and Television Broadcasting
515112|16-161-456|Professional|Information|Radio and Television Broadcasting
515120|16-161-456|Professional|Information|Radio and Television Broadcasting
515210|16-161-151|Professional|Information|Cable and Other Subscription Programming
517311|16-161-505|Professional|Information|Telecommunications Carriers
517312|16-161-505|Professional|Information|Telecommunications Carriers
517410|16-161-473|Professional|Information|Satellite Telecommunications
517911|16-161-413|Professional|Information|Other Telecommunications
517919|16-161-413|Professional|Information|Other Telecommunications
518210|16-161-199|Professional|Information|Data Processing and Related Services
519110|16-161-390|Professional|Information|Other Information Services
519120|16-161-390|Professional|Information|Other Information Services
519130|16-161-390|Professional|Information|Other Information Services
519190|16-161-390|Professional|Information|Other Information Services
521110|17-115-159|Finance and Insurance|Central Bank|Central Bank
522110|17-109-171|Finance and Insurance|Banking and Savings|Commercial Banking
522120|17-109-474|Finance and Insurance|Banking and Savings|Savings Institutions
522130|17-109-196|Finance and Insurance|Banking and Savings|Credit Unions
522190|17-109-367|Finance and Insurance|Banking and Savings|Other Banking and Savings
522210|17-124-195|Finance and Insurance|Credit Services|Credit Card Issuing
522220|17-124-472|Finance and Insurance|Credit Services|Sales Financing
522291|17-124-374|Finance and Insurance|Credit Services|Other Credit Services
522292|17-124-374|Finance and Insurance|Credit Services|Other Credit Services
522293|17-124-374|Finance and Insurance|Credit Services|Other Credit Services
522294|17-124-374|Finance and Insurance|Credit Services|Other Credit Services
522298|17-124-374|Finance and Insurance|Credit Services|Other Credit Services
522310|17-124-308|Finance and Insurance|Credit Services|Loan Brokers
522320|17-124-230|Finance and Insurance|Credit Services|Financial Transactions
522390|17-124-374|Finance and Insurance|Credit Services|Other Credit Services
523110|17-207-293|Finance and Insurance|Securities and Commodities|Investment Banking and Securities Dealing
523120|17-207-477|Finance and Insurance|Securities and Commodities|Securities Brokerage
523130|17-207-174|Finance and Insurance|Securities and Commodities|Commodity Contracts Dealing
523140|17-207-173|Finance and Insurance|Securities and Commodities|Commodity Contracts Brokerage
523210|17-207-478|Finance and Insurance|Securities and Commodities|Securities and Commodities
523910|17-187-325|Finance and Insurance|Other Financial Activities|Miscellaneous Intermediation
523920|17-187-440|Finance and Insurance|Other Financial Activities|Portfolio Management
523930|17-187-292|Finance and Insurance|Other Financial Activities|Investment Advice
523991|17-187-379|Finance and Insurance|Other Financial Activities|Other Financial Activities
523999|17-187-379|Finance and Insurance|Other Financial Activities|Other Financial Activities
524113|17-163-303|Finance and Insurance|Insurance Carriers|Life, Health, and Medical Insurance
524114|17-163-303|Finance and Insurance|Insurance Carriers|Life, Health, and Medical Insurance
524126|17-163-203|Finance and Insurance|Insurance Carriers|Direct Insurance Carriers
524127|17-163-203|Finance and Insurance|Insurance Carriers|Direct Insurance Carriers
524128|17-163-203|Finance and Insurance|Insurance Carriers|Direct Insurance Carriers
524130|17-163-467|Finance and Insurance|Insurance Carriers|Reinsurance Carriers
524210|17-101-289|Finance and Insurance|Agencies and Brokerages|Insurance Agencies and Brokerages
524291|17-101-392|Finance and Insurance|Agencies and Brokerages|Other Insurance Related Activities
524292|17-101-392|Finance and Insurance|Agencies and Brokerages|Other Insurance Related Activities
524298|17-101-392|Finance and Insurance|Agencies and Brokerages|Other Insurance Related Activities
525110|17-164-424|Finance and Insurance|Insurance and Employee Benefit Funds|Pension Funds
525120|17-164-269|Finance and Insurance|Insurance and Employee Benefit Funds|Health and Welfare Funds
525190|17-164-391|Finance and Insurance|Insurance and Employee Benefit Funds|Other Insurance Funds
525910|17-188-360|Finance and Insurance|Other Investment Services|Open-End Investment Funds
525920|17-188-521|Finance and Insurance|Other Investment Services|Trusts, Estates, and Agency Accounts
525990|17-188-380|Finance and Insurance|Other Investment Services|Other Financial Vehicles
531110|16-203-459|Professional|Real Estate|Real Estate Rental and Leasing
531120|16-203-459|Professional|Real Estate|Real Estate Rental and Leasing
531130|16-203-459|Professional|Real Estate|Real Estate Rental and Leasing
531190|16-203-459|Professional|Real Estate|Real Estate Rental and Leasing
531210|16-203-458|Professional|Real Estate|Real Estate Agents and Brokers
531311|16-203-101|Professional|Real Estate|Activities Related to Real Estate
531312|16-203-101|Professional|Real Estate|Activities Related to Real Estate
531320|16-203-101|Professional|Real Estate|Activities Related to Real Estate
531390|16-203-101|Professional|Real Estate|Activities Related to Real Estate
532111|16-205-129|Professional|Rental and Leasing|Automotive Equipment Rental and Leasing
532112|16-205-129|Professional|Rental and Leasing|Automotive Equipment Rental and Leasing
532120|16-205-129|Professional|Rental and Leasing|Automotive Equipment Rental and Leasing
532210|16-205-188|Professional|Rental and Leasing|Consumer Goods Rental
532281|16-205-188|Professional|Rental and Leasing|Consumer Goods Rental
532282|16-205-188|Professional|Rental and Leasing|Consumer Goods Rental
532283|16-205-188|Professional|Rental and Leasing|Consumer Goods Rental
532284|16-205-188|Professional|Rental and Leasing|Consumer Goods Rental
532289|16-205-188|Professional|Rental and Leasing|Consumer Goods Rental
532310|16-205-261|Professional|Rental and Leasing|General Rental Centers
532411|16-205-172|Professional|Rental and Leasing|Commercial Equipment Rental and Leasing
532412|16-205-172|Professional|Rental and Leasing|Commercial Equipment Rental and Leasing
532420|16-205-172|Professional|Rental and Leasing|Commercial Equipment Rental and Leasing
532490|16-205-172|Professional|Rental and Leasing|Commercial Equipment Rental and Leasing
533110|16-205-469|Professional|Rental and Leasing|Rental and Leasing
541110|16-199-301|Professional|Professional Services|Legal Services
541120|16-199-301|Professional|Professional Services|Legal Services
541191|16-199-301|Professional|Professional Services|Legal Services
541199|16-199-301|Professional|Professional Services|Legal Services
541211|16-199-100|Professional|Professional Services|Accounting and Payroll Services
541213|16-199-100|Professional|Professional Services|Accounting and Payroll Services
541214|16-199-100|Professional|Professional Services|Accounting and Payroll Services
541219|16-199-100|Professional|Professional Services|Accounting and Payroll Services
541310|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541320|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541330|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541340|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541350|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541360|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541370|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541380|16-199-123|Professional|Professional Services|Architectural, Engineering, and Related Services
541410|16-199-490|Professional|Professional Services|Specialized Design Services
541420|16-199-490|Professional|Professional Services|Specialized Design Services
541430|16-199-490|Professional|Professional Services|Specialized Design Services
541490|16-199-490|Professional|Professional Services|Specialized Design Services
541511|16-199-178|Professional|Professional Services|Computer Systems Design and Related Services
541512|16-199-178|Professional|Professional Services|Computer Systems Design and Related Services
541513|16-199-178|Professional|Professional Services|Computer Systems Design and Related Services
541519|16-199-178|Professional|Professional Services|Computer Systems Design and Related Services
541611|16-199-504|Professional|Professional Services|Technical Consulting Services
541612|16-199-504|Professional|Professional Services|Technical Consulting Services
541613|16-199-504|Professional|Professional Services|Technical Consulting Services
541614|16-199-504|Professional|Professional Services|Technical Consulting Services
541618|16-199-504|Professional|Professional Services|Technical Consulting Services
541620|16-199-504|Professional|Professional Services|Technical Consulting Services
541690|16-199-504|Professional|Professional Services|Technical Consulting Services
541713|16-199-476|Professional|Professional Services|Scientific Research and Development Services
541714|16-199-476|Professional|Professional Services|Scientific Research and Development Services
541715|16-199-476|Professional|Professional Services|Scientific Research and Development Services
541720|16-199-476|Professional|Professional Services|Scientific Research and Development Services
541810|16-199-113|Professional|Professional Services|Advertising and Public Relations
541820|16-199-113|Professional|Professional Services|Advertising and Public Relations
541830|16-199-113|Professional|Professional Services|Advertising and Public Relations
541840|16-199-113|Professional|Professional Services|Advertising and Public Relations
541850|16-199-113|Professional|Professional Services|Advertising and Public Relations
541860|16-199-113|Professional|Professional Services|Advertising and Public Relations
541870|16-199-113|Professional|Professional Services|Advertising and Public Relations
541890|16-199-113|Professional|Professional Services|Advertising and Public Relations
541910|16-199-404|Professional|Professional Services|Other Professional Services
541921|16-199-404|Professional|Professional Services|Other Professional Services
541922|16-199-404|Professional|Professional Services|Other Professional Services
541930|16-199-404|Professional|Professional Services|Other Professional Services
541940|16-199-404|Professional|Professional Services|Other Professional Services
541990|16-199-404|Professional|Professional Services|Other Professional Services
551111|18-172-313|Administration|Management of Companies|Management of Companies
551112|18-172-313|Administration|Management of Companies|Management of Companies
551114|18-172-313|Administration|Management of Companies|Management of Companies
561110|18-100-348|Administration|Administrative Support|Office Administrative Services
561210|18-100-224|Administration|Administrative Support|Facilities Support Services
561311|18-100-218|Administration|Administrative Support|Employment Services
561312|18-100-218|Administration|Administrative Support|Employment Services
561320|18-100-218|Administration|Administrative Support|Employment Services
561330|18-100-218|Administration|Administrative Support|Employment Services
561410|18-100-148|Administration|Administrative Support|Business Support Services
561421|18-100-148|Administration|Administrative Support|Business Support Services
561422|18-100-148|Administration|Administrative Support|Business Support Services
561431|18-100-148|Administration|Administrative Support|Business Support Services
561439|18-100-148|Administration|Administrative Support|Business Support Services
561440|18-100-148|Administration|Administrative Support|Business Support Services
561450|18-100-148|Administration|Administrative Support|Business Support Services
561491|18-100-148|Administration|Administrative Support|Business Support Services
561492|18-100-148|Administration|Administrative Support|Business Support Services
561499|18-100-148|Administration|Administrative Support|Business Support Services
561510|18-100-519|Administration|Administrative Support|Travel Arrangement and Reservation Services
561520|18-100-519|Administration|Administrative Support|Travel Arrangement and Reservation Services
561591|18-100-519|Administration|Administrative Support|Travel Arrangement and Reservation Services
561599|18-100-519|Administration|Administrative Support|Travel Arrangement and Reservation Services
561611|18-100-291|Administration|Administrative Support|Investigation and Security Services
561612|18-100-291|Administration|Administrative Support|Investigation and Security Services
561613|18-100-291|Administration|Administrative Support|Investigation and Security Services
561621|18-100-291|Administration|Administrative Support|Investigation and Security Services
561622|18-100-291|Administration|Administrative Support|Investigation and Security Services
561710|18-100-481|Administration|Administrative Support|Services to Buildings and Dwellings
561720|18-100-481|Administration|Administrative Support|Services to Buildings and Dwellings
561730|18-100-481|Administration|Administrative Support|Services to Buildings and Dwellings
561740|18-100-481|Administration|Administrative Support|Services to Buildings and Dwellings
561790|18-100-481|Administration|Administrative Support|Services to Buildings and Dwellings
561910|18-100-411|Administration|Administrative Support|Other Support Services
561920|18-100-411|Administration|Administrative Support|Other Support Services
561990|18-100-411|Administration|Administrative Support|Other Support Services
562111|18-223-531|Administration|Waste Management|Waste Collection
562112|18-223-531|Administration|Waste Management|Waste Collection
562119|18-223-531|Administration|Waste Management|Waste Collection
562211|18-223-532|Administration|Waste Management|Waste Treatment and Disposal
562212|18-223-532|Administration|Waste Management|Waste Treatment and Disposal
562213|18-223-532|Administration|Waste Management|Waste Treatment and Disposal
562219|18-223-532|Administration|Waste Management|Waste Treatment and Disposal
562910|18-223-415|Administration|Waste Management|Other Waste Management Services
562920|18-223-415|Administration|Waste Management|Other Waste Management Services
562991|18-223-415|Administration|Waste Management|Other Waste Management Services
562998|18-223-415|Administration|Waste Management|Other Waste Management Services
611110|15-136-216|Education|Elementary and Secondary Schools|Elementary and Secondary Schools
611210|15-166-296|Education|Junior Colleges|Junior Colleges
611310|15-120-170|Education|Colleges and Professional Schools|Colleges and Professional Schools
611410|15-222-149|Education|Vocational Schools|Business and Secretarial Schools
611420|15-222-179|Education|Vocational Schools|Computer Training
611430|15-222-449|Education|Vocational Schools|Professional Development Training
611511|15-222-192|Education|Vocational Schools|Cosmetology and Barber Schools
611512|15-222-237|Education|Vocational Schools|Flight Training
611513|15-222-121|Education|Vocational Schools|Apprenticeship Training
611519|15-222-412|Education|Vocational Schools|Other Technical and Trade Schools
611610|15-162-231|Education|Instructional Schools|Fine Arts Schools
611620|15-162-496|Education|Instructional Schools|Sports and Recreation Instruction
611630|15-162-298|Education|Instructional Schools|Language Schools
611691|15-162-220|Education|Instructional Schools|Exam Preparation and Tutoring
611692|15-162-126|Education|Instructional Schools|Automobile Driving Schools
611699|15-162-396|Education|Instructional Schools|Other Miscellaneous Schools and Instruction
611710|15-133-209|Education|Educational Support Services|Educational Support Services
621111|14-147-356|Health Care|General Health Care|Offices of Physicians
621112|14-147-356|Health Care|General Health Care|Offices of Physicians
621210|14-147-352|Health Care|General Health Care|Offices of Dentists
621310|14-147-351|Health Care|General Health Care|Offices of Chiropractors
621320|14-147-354|Health Care|General Health Care|Offices of Optometrists
621330|14-147-353|Health Care|General Health Care|Offices of Mental Health Practitioners
621340|14-147-355|Health Care|General Health Care|Offices of Other Health Practitioners
621391|14-147-355|Health Care|General Health Care|Offices of Other Health Practitioners
621399|14-147-355|Health Care|General Health Care|Offices of Other Health Practitioners
621410|14-147-227|Health Care|General Health Care|Family Planning Centers
621420|14-147-417|Health Care|General Health Care|Outpatient Mental Health and Substance Abuse Centers
621491|14-147-398|Health Care|General Health Care|Other Outpatient Care Centers
621492|14-147-398|Health Care|General Health Care|Other Outpatient Care Centers
621493|14-147-398|Health Care|General Health Care|Other Outpatient Care Centers
621498|14-147-398|Health Care|General Health Care|Other Outpatient Care Centers
621511|14-147-318|Health Care|General Health Care|Medical and Diagnostic Laboratories
621512|14-147-318|Health Care|General Health Care|Medical and Diagnostic Laboratories
621610|14-147-276|Health Care|General Health Care|Home Health Care Services
621910|14-147-115|Health Care|General Health Care|Ambulance Services
621991|14-147-384|Health Care|General Health Care|Other General Health Care
621999|14-147-384|Health Care|General Health Care|Other General Health Care
622110|14-155-260|Health Care|Hospitals|General Medical and Surgical Hospitals
622210|14-155-451|Health Care|Hospitals|Psychiatric and Substance Abuse Hospitals
622310|14-155-491|Health Care|Hospitals|Specialty Hospitals
623110|14-206-347|Health Care|Residential Care Facilities|Nursing Care Facilities
623210|14-206-201|Health Care|Residential Care Facilities|Developmental Disability Facilities
